iter	RMSE
0	14.31342778
1	13.54144136
2	12.63052218
3	11.88393115
4	11.16324149
5	10.56503372
6	10.03090897
7	9.613726428
8	9.185960963
9	8.73935869
10	8.340643966
11	8.033127136
12	7.768309161
13	7.474063709
14	7.221577477
15	6.986524369
16	6.835855058
17	6.647713825
18	6.493909554
19	6.360323051
20	6.242712894
21	6.11660567
22	6.020538472
23	5.921871473
24	5.83589596
25	5.766244915
26	5.698520081
27	5.634181333
28	5.578958646
29	5.522945477
30	5.489127441
31	5.4511029
32	5.408866171
33	5.378794422
34	5.344360317
35	5.303727846
36	5.276507212
37	5.244287144
38	5.222086439
39	5.202673086
40	5.177475417
41	5.14979211
42	5.139031226
43	5.111500525
44	5.088121543
45	5.068411108
46	5.051188054
47	5.02680514
48	5.015991359
49	5.00596927
50	4.99073157
51	4.969456685
52	4.955898362
53	4.943018571
54	4.924469374
55	4.912292294
56	4.901505498
57	4.887405149
58	4.878623635
59	4.860448893
60	4.84424742
61	4.83237187
62	4.821836749
63	4.814722545
64	4.803410944
65	4.794626342
66	4.783927861
67	4.770475723
68	4.760160965
69	4.749764796
70	4.739214461
71	4.730367345
72	4.720682831
73	4.719793611
74	4.710743712
75	4.701341937
76	4.692200257
77	4.684846509
78	4.676113674
79	4.667817575
80	4.660502952
81	4.653517381
82	4.645310202
83	4.641561902
84	4.62858263
85	4.625098784
86	4.611842165
87	4.603122579
88	4.590308201
89	4.580807292
90	4.572904257
91	4.562279524
92	4.554607285
93	4.549504603
94	4.546581041
95	4.538254768
96	4.52405517
97	4.512853496
98	4.501547442
99	4.486900502
