iter	Passed	Remaining
0	0	46
1	1	49
2	1	57
3	2	56
4	2	55
5	3	53
6	3	51
7	4	50
8	4	48
9	5	47
10	5	46
11	6	45
12	6	44
13	7	43
14	7	42
15	7	41
16	8	40
17	8	39
18	9	38
19	9	38
20	9	37
21	10	36
22	10	35
23	11	35
24	11	34
25	11	33
26	12	33
27	12	32
28	13	31
29	13	31
30	13	30
31	14	30
32	14	29
33	14	28
34	15	28
35	15	27
36	15	27
37	16	26
38	16	25
39	16	25
40	17	24
41	17	24
42	17	23
43	18	22
44	18	22
45	18	21
46	18	21
47	19	20
48	19	20
49	19	19
50	19	19
51	20	18
52	20	18
53	20	17
54	21	17
55	21	16
56	21	16
57	21	15
58	22	15
59	22	14
60	22	14
61	22	13
62	22	13
63	23	13
64	23	12
65	23	12
66	23	11
67	24	11
68	24	10
69	24	10
70	24	10
71	24	9
72	25	9
73	25	8
74	25	8
75	25	8
76	25	7
77	26	7
78	26	7
79	26	6
80	26	6
81	26	5
82	27	5
83	27	5
84	27	4
85	27	4
86	27	4
87	28	3
88	28	3
89	28	3
90	28	2
91	29	2
92	29	2
93	29	1
94	29	1
95	29	1
96	30	0
97	30	0
98	30	0
99	30	0
